# Force coefficients
# liftDir    : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis  : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf    : 5.939300e+01
# lRef       : 1.000000e+00
# Aref       : 1.000000e+00
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r)        
1            	1.781869e+01	6.424125e+00	2.726256e+01	3.144997e+01	-4.187416e+00
2            	1.494174e+01	5.108683e+00	2.329529e+01	2.658939e+01	-3.294095e+00
3            	-1.803617e+00	-7.919037e-01	-2.208099e+00	-2.907667e+00	6.995678e-01
4            	-1.155903e+01	-4.023475e+00	-1.748975e+01	-2.030390e+01	2.814157e+00
5            	-8.991202e+00	-2.902116e+00	-1.398630e+01	-1.598435e+01	1.998050e+00
6            	2.158662e+00	8.872291e-01	2.988884e+00	3.653104e+00	-6.642201e-01
7            	7.663627e+00	2.611304e+00	1.174170e+01	1.353448e+01	-1.792777e+00
8            	5.195811e+00	1.587719e+00	8.414969e+00	9.403296e+00	-9.883263e-01
9            	-1.353431e+00	-6.158624e-01	-1.499875e+00	-2.103368e+00	6.034931e-01
10           	-4.354044e+00	-1.499653e+00	-6.366988e+00	-7.537538e+00	1.170550e+00
11           	-3.013388e+00	-8.789279e-01	-4.743478e+00	-5.385126e+00	6.416488e-01
12           	6.121000e-01	3.617687e-01	6.166007e-01	9.204004e-01	-3.037997e-01
13           	2.838771e+00	9.447164e-01	4.330939e+00	5.004241e+00	-6.733019e-01
14           	2.023700e+00	5.531344e-01	3.409307e+00	3.728353e+00	-3.190462e-01
15           	-2.138401e-01	-2.023949e-01	1.439413e-01	-1.418694e-01	2.858108e-01
16           	-1.403372e+00	-5.093054e-01	-1.829952e+00	-2.318348e+00	4.883967e-01
17           	-1.129021e+00	-3.014768e-01	-1.728748e+00	-1.993395e+00	2.646476e-01
18           	1.501419e-02	9.975574e-02	-1.292311e-01	-4.960136e-02	-7.962974e-02
19           	7.682690e-01	2.831677e-01	1.126805e+00	1.331672e+00	-2.048664e-01
20           	8.586763e-01	2.046567e-01	1.541041e+00	1.629197e+00	-8.815555e-02
21           	3.425528e-01	7.727413e-03	8.742536e-01	7.796796e-01	9.457399e-02
22           	-1.801137e-01	-1.165408e-01	1.124296e-02	-1.744922e-01	1.857352e-01
23           	-4.182742e-01	-1.081765e-01	-5.601092e-01	-6.983288e-01	1.382196e-01
24           	-1.726281e-01	-7.821828e-03	-2.727068e-01	-3.089815e-01	3.627471e-02
25           	1.786109e-01	7.433829e-02	2.971269e-01	3.271744e-01	-3.004746e-02
26           	4.482268e-01	9.609917e-02	8.526045e-01	8.745290e-01	-2.192458e-02
27           	3.552451e-01	4.894243e-02	7.750824e-01	7.427863e-01	3.229610e-02
28           	1.371877e-01	-5.057301e-03	4.393898e-01	3.568826e-01	8.250714e-02
29           	-6.321982e-02	-3.254262e-02	6.464938e-02	-3.089513e-02	9.554452e-02
30           	-8.981117e-02	-1.745094e-02	-4.781166e-02	-1.137170e-01	6.590534e-02
31           	1.666697e-02	1.110646e-02	1.017112e-01	6.752257e-02	3.418863e-02
32           	1.787413e-01	3.701299e-02	3.887484e-01	3.731155e-01	1.563295e-02
33           	2.532959e-01	3.947780e-02	5.559777e-01	5.312848e-01	2.469293e-02
34           	2.255176e-01	2.639315e-02	5.415610e-01	4.962981e-01	4.526287e-02
35           	1.330325e-01	7.877860e-03	3.949542e-01	3.305096e-01	6.444454e-02
36           	6.439340e-02	1.778266e-04	2.602876e-01	1.945372e-01	6.575041e-02
37           	4.700333e-02	3.669903e-03	1.994248e-01	1.467157e-01	5.270906e-02
38           	8.428677e-02	1.210392e-02	2.507022e-01	2.096379e-01	4.106433e-02
39           	1.424544e-01	2.003406e-02	3.573330e-01	3.211209e-01	3.621204e-02
40           	1.810627e-01	2.252367e-02	4.431170e-01	4.026212e-01	4.049581e-02
41           	1.813099e-01	1.906052e-02	4.625836e-01	4.126017e-01	4.998194e-02
42           	1.550120e-01	1.426816e-02	4.207015e-01	3.653627e-01	5.533874e-02
43           	1.221805e-01	1.035321e-02	3.557579e-01	3.000594e-01	5.569845e-02
44           	1.058877e-01	9.532462e-03	3.158227e-01	2.637991e-01	5.202359e-02
45           	1.125733e-01	1.153037e-02	3.202906e-01	2.727186e-01	4.757200e-02
46           	1.328163e-01	1.421312e-02	3.574330e-01	3.115328e-01	4.590016e-02
47           	1.560338e-01	1.620375e-02	4.070783e-01	3.595729e-01	4.750539e-02
48           	1.671868e-01	1.614720e-02	4.366783e-01	3.855259e-01	5.115233e-02
49           	1.626472e-01	1.469336e-02	4.326991e-01	3.789968e-01	5.370233e-02
50           	1.509007e-01	1.288051e-02	4.111692e-01	3.564852e-01	5.468391e-02
51           	1.414452e-01	1.182364e-02	3.912486e-01	3.370695e-01	5.417909e-02
52           	1.357894e-01	1.153502e-02	3.770614e-01	3.243201e-01	5.274130e-02
